example,foc_self,foc_only,left_dis,non_init_exis,obj_front,inv_tag,cop_omis,res_obj_pron,res_sub_pron,top_non_arg_con
So if you're not good at communication you may get filtered at the first level itself,1,0,0,0,0,0,0,0,0,0
So if you're not good at communication you may get filtered at the same level itself,1,0,0,0,0,0,0,0,0,0
if you're not good at communication you may get filtered at the same level itself,1,0,0,0,0,0,0,0,0,0
So if you're not good at communication you may get filtered at the first level,0,0,0,0,0,0,0,0,0,0
So if you're not good at communication you may get filtered at the first level of itself,0,0,0,0,0,0,0,0,0,0
But I did have some difficulty getting to know people among Indians itself,1,0,0,0,0,0,0,0,0,0
But I did have some difficulty know how to people among Indians itself,1,0,0,0,0,0,0,0,0,0
But I did have some difficulty getting to know among the people itself,1,0,0,0,0,0,0,0,0,0
I think you should start going to the gym from now itself.,1,0,0,0,0,0,0,0,0,0
I think you should going to the gym from now itself.,1,0,0,0,0,0,0,0,0,0
you think should start going to the gym from now itself.,1,0,0,0,0,0,0,0,0,0
I think you should start going to the gym years from now.,0,0,0,0,0,0,0,0,0,0
I think you should start going to the gym from now.,0,0,0,0,0,0,0,0,0,0
I did one refresher course in the month of June itself.,1,0,0,0,0,0,0,0,0,0
uh I did one refresher course in the month of June itself.,1,0,0,0,0,0,0,0,0,0
I did one refresher course in the month of May June itself.,1,0,0,0,0,0,0,0,0,0
I did one refresher course in the month of itself.,0,0,0,0,0,0,0,0,0,0
I did one refresher course in the month second of June.,0,0,0,0,0,0,0,0,0,0
I did one refresher course in the month week of June.,0,0,0,0,0,0,0,0,0,0
He is doing Engineering in Delhi itself.,1,0,0,0,0,0,0,0,0,0
He doing is in Delhi itself.,1,0,0,0,0,0,0,0,0,0
He is he doing in Delhi itself.,1,0,0,0,0,0,0,0,0,0
He is doing Engineering in Delhi only.,0,1,0,0,0,0,0,0,0,0
He is doing Engineering in Delhi.,0,0,0,0,0,0,0,0,0,0
He is doing Engineering in itself.,0,0,0,0,0,0,0,0,0,0
I'm working very nearby to my house only ,0,1,0,0,0,0,0,0,0,0
I'm working in nearby to my house only ,0,1,0,0,0,0,0,0,0,0
I'm very hard working to my house only ,0,1,0,0,0,0,0,0,0,0
I'm working very nearby from my house to only ,0,0,0,0,0,0,0,0,0,0
I'm working very nearby to in my house,0,0,0,0,0,0,0,0,0,0
I'm working very nearby my house to the only ,0,0,0,0,0,0,0,0,0,0
recently only in April there was a big fight,0,1,0,0,0,0,0,0,0,0
recently only in April there was a very big,0,1,0,0,0,0,0,0,0,0
recently only in April there is a big fight,0,1,0,0,0,0,0,0,0,0
only in the April there was a big fight,0,0,0,0,0,0,0,0,0,0
recently in only there was a big fight,0,0,0,0,0,0,0,0,0,0
in only April there was a big fight,0,0,0,0,0,0,0,0,0,0
I was there yesterday only,0,1,0,0,0,0,0,0,0,0
I was in yesterday only,0,1,0,0,0,0,0,0,0,0
I there was one only,0,1,0,0,0,0,0,0,0,0
I and yesterday there was only,0,0,0,0,0,0,0,0,0,0
I there was a only,0,0,0,0,0,0,0,0,0,0
I was there was only,0,0,0,0,0,0,0,0,0,0
She was brought up there and her college was there only,0,1,0,0,0,0,0,0,0,0
She was brought up there college and was there only,0,1,0,0,0,0,0,0,0,0
She was brought and brought up there her college was there only,0,1,0,0,0,0,0,0,0,0
She was brought up there and her there was a only,0,0,0,0,0,0,0,0,0,0
She was brought up there and her college there was one,0,0,0,0,0,0,0,0,0,0
She was brought up there and her uh there was only,0,0,0,0,0,0,0,0,0,0
