example	zero-poss	zero-copula	double-tense	be-construction	resultant-done	finna	come	double-modal	multiple-neg	neg-inversion	n-inv-neg-concord	aint	zero-3sg-pres-s	is-was-gen	zero-pl-s	double-object	wh-qu
go over with my grandma house	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go over my grandma house	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go over my grandmama house	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go over my grandma's house	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go over my grandma's	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go over my ma's house	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zaria conscious not	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zaria conscious is not like	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zaria conscious is not 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zaria this is not	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zaria is not	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
And Zaria is not	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
this y'all gift	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
okay this y'all birthday gift	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
this y'all birthday gift	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
this y'all do birthday gift	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
much they own thing going	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
much section got they own thing going	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
much got they own thing going	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
much, they got thing going	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
much they got a thing going	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
much got thing they going	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
to go they name on the 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go to the they name on the 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go to put they name on the	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go to put name on the	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
go to put they was on the 	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
go to put they on the 	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
you know, it be in the street.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
you know, it be in the street	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
you know, it be blocks in the street	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
you know, it would be blocks in the street	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
you know, it could be blocks in the street	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
you know, it blocks in the street	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She the around here	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She around the corner here	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She the folk around here	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She was the around here	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She had the around here	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She let the around here	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everybody else younger than me.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everybody years younger than me.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everybody else stupid than me.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everybody than younger me.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everybody else than me.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everybody else was than me.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He on the five dollar	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He on the last five	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He on the five	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
on the other five dollar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
on the five dollar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the on five dollar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Then they gonna say, why he just talking to black people?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Then they gonna say, why he talking to black people?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Then they say, why he just talking to black people?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Then they say, why he just wanted to black people?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
they were gonna say, he was just talking to black people?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Then not gonna say why, just talking to black people?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
They talking about	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
They talking	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
They were talking about	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
talking about, 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
They keep talking about	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She likeded me the best all	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She likeded me the best	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She likeded me all the time	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She liked me about the best all	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She liked me the best all	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The bullets bounceded off.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The bullets bounceded.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The bullets bounceded me.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The bullets bounced it off.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The bullets bounced off.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The bullets Rounded off.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He throwed a rock in	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He throwed - in a	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
throwed a rock in	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He throw a rock in	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
